Format: index, leftIndex, rightIndex, class - uX, uY, vX, vY, thresh - Score
340, 674, 675, -1 - -13, -15, 38, -35, -78.191473 - 0.404131
341, 676, 677, -1 - -16, -1, 0, -37, -82.311472 - 0.488574
342, 678, 679, -1 - -36, 29, -3, 7, -20.731223 - 0.223813
343, 680, 681, -1 - 21, 21, 6, 1, 49.009674 - 0.886541
344, 682, 683, -1 - -46, 35, 45, -37, 23.398541 - 0.203465
345, 684, 685, -1 - -38, -6, -39, 31, -59.514145 - 0.486194
346, 686, 687, -1 - -3, 5, -25, 44, -69.035920 - 0.113025
347, 688, 689, -1 - 4, 33, -43, 11, 23.551134 - 0.375900
348, 690, 691, -1 - -11, -49, -10, 19, -83.916746 - 0.472349
349, 692, 693, -1 - 21, -12, 43, -16, -58.995331 - 0.653544
350, 694, 695, -1 - 58, 11, 29, -41, 13.150426 - 0.553748
351, 696, 697, -1 - -2, -31, 13, 46, -2.560503 - 0.909273
352, 698, 699, -1 - 0, -3, -23, 11, -8.944975 - 0.599674
353, 700, 701, -1 - 4, 58, 16, -7, 97.143468 - 0.234505
354, 702, 703, -1 - -19, -26, 20, -39, -1.785333 - 0.108628
355, 704, 705, -1 - 2, 46, 0, 2, 86.095767 - 0.494270
356, 706, 707, -1 - 22, -4, -25, -15, -11.685537 - 0.642240
357, 708, 709, -1 - 15, -14, -3, 8, 23.398541 - 0.051797
358, 710, 711, -1 - 44, -14, 0, 0, 11.484115 - 0.429274
359, 712, 713, -1 - 28, -29, -23, -41, -98.608356 - 0.185822
360, 714, 715, -1 - -36, -36, 25, 4, 26.194037 - 0.876458
361, 716, 717, -1 - -17, 56, -16, 13, 80.114139 - 0.815531
362, 718, 719, -1 - -14, 24, 18, 15, 26.139103 - 0.587445
363, 720, 721, -1 - -53, 27, -2, -18, 23.764763 - 0.455779
364, 722, 723, -1 - 0, -11, -3, -49, -62.443922 - 0.701650
365, 724, 725, -1 - 38, -15, 25, 36, -31.907102 - 0.136948
366, 726, 727, -1 - 23, -5, -53, 20, -86.278878 - 0.175873
367, 728, 729, -1 - 4, -52, 59, 6, -90.197455 - 0.485953
