Format: index, leftIndex, rightIndex, class - uX, uY, vX, vY, thresh - Score
643, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
644, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
645, 0, 0, 12 - 0, 0, 0, 0, 0.000000 - 0.000000
646, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
647, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
648, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
649, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
650, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
651, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
652, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
653, 710, 711, -1 - 0, -55, 46, -35, -85.839412 - 0.650022
654, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
655, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
656, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
657, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
658, 712, 713, -1 - 35, -35, 24, 5, -22.727134 - 0.309543
659, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
660, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
661, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
662, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
663, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
664, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
665, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
666, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
667, 714, 715, -1 - 18, -9, -13, 1, -72.283090 - 0.970951
668, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
669, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
670, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
671, 0, 0, 21 - 0, 0, 0, 0, 0.000000 - 0.000000
672, 716, 717, -1 - -58, -5, -9, -5, 14.590899 - 1.000000
673, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
674, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
675, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
676, 0, 0, 7 - 0, 0, 0, 0, 0.000000 - 0.000000
677, 0, 0, 8 - 0, 0, 0, 0, 0.000000 - 0.000000
678, 0, 0, 8 - 0, 0, 0, 0, 0.000000 - 0.000000
679, 0, 0, 9 - 0, 0, 0, 0, 0.000000 - 0.000000
680, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
681, 0, 0, 13 - 0, 0, 0, 0, 0.000000 - 0.000000
682, 0, 0, 6 - 0, 0, 0, 0, 0.000000 - 0.000000
683, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
684, 0, 0, 7 - 0, 0, 0, 0, 0.000000 - 0.000000
685, 0, 0, 6 - 0, 0, 0, 0, 0.000000 - 0.000000
686, 718, 719, -1 - 46, 10, -12, 14, 0.863674 - 0.595998
687, 720, 721, -1 - -23, 21, 13, 26, 76.329844 - 0.112838
688, 722, 723, -1 - 38, 45, 2, -15, -8.987701 - 1.000000
689, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
690, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
691, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
692, 724, 725, -1 - -1, 7, 6, -6, 1.382488 - 0.088145
693, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
694, 726, 727, -1 - 34, -28, 8, -10, 3.207495 - 0.176101
695, 728, 729, -1 - -10, -6, 8, 3, -0.888089 - 0.223019
696, 730, 731, -1 - 49, -27, 0, -3, -76.360363 - 0.062631
697, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
698, 732, 733, -1 - -19, -26, 20, -39, -1.785333 - 0.587662
699, 734, 735, -1 - 12, -56, -6, 25, -50.059511 - 0.271718
700, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
701, 736, 737, -1 - -1, -26, 5, 42, 87.108982 - 0.249882
702, 738, 739, -1 - -10, 27, 15, -13, -35.160375 - 0.591673
703, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
704, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
705, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
706, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
707, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
708, 0, 0, 12 - 0, 0, 0, 0, 0.000000 - 0.000000
709, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
710, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
711, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
712, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
713, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
714, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
715, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
716, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
717, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
718, 740, 741, -1 - 36, 30, -26, 32, 42.197943 - 0.439497
719, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
720, 742, 743, -1 - 47, -10, 27, 6, -8.731346 - 0.069362
721, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
722, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
723, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
724, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
725, 744, 745, -1 - 22, -42, -25, -5, -90.990936 - 0.102388
726, 746, 747, -1 - 0, -30, 12, -46, -33.036287 - 0.459932
727, 748, 749, -1 - 1, 15, -42, -10, -4.519791 - 0.057569
728, 750, 751, -1 - 0, -37, 27, 22, -30.582598 - 0.629733
729, 752, 753, -1 - -2, 14, -35, 10, -99.383526 - 0.359530
730, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
731, 754, 755, -1 - -5, 6, 37, -38, 26.218451 - 0.042566
732, 756, 757, -1 - 12, 11, -14, 10, -13.376263 - 0.228538
733, 758, 759, -1 - 43, 29, 13, -54, 15.756706 - 0.252282
734, 760, 761, -1 - 46, 33, -2, 3, 7.998901 - 0.945660
735, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
736, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
737, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
738, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
739, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
740, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
741, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
742, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
743, 762, 763, -1 - -27, -11, 7, 0, 21.341594 - 0.094084
744, 764, 765, -1 - -9, 2, -4, -29, -36.191900 - 0.243437
745, 766, 767, -1 - -27, 16, -2, -10, 17.642750 - 0.150698
